	EC50
NCIH1944	12.96
NCIH2122	12.49
HCC15	11.32
NCIH1793	10.04
NCIH1792	9.68
NCIH1573	7.62
LXF289	7.44
RERFLCMS	6.39
NCIH1373	5.95
NCIH2023	5.81
PC9	5.6
NCIH2228	5.62
NCIH2030	4.69
A549	4.24
NCIH2126	3.62
NCIH1437	3.59
NCIH3122	3.25
NCIH1395	3.15
HCC2935	2.85
NCIH1651	2.7
NCIH441	2.69
NCIH838	2.32
NCIH2009	2.29
NCIH460	2.18
NCIH1781	1.69
NCIH661	1.52
HCC827	1.43
NCIH1568	1.37
NCIH2405	1.13
NCIH1693	1.04
NCIH1299	0.98
NCIH23	0.94
NCIH522	0.73
